vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
1.000000,0.200000,15.616338,16000.000000,-0.549403,-6.223645
1.250000,0.200000,8.993481,20000.000000,-0.329667,-5.161081
1.500000,0.200000,6.078504,24000.000000,-0.183272,-4.362140
1.750000,0.200000,6.894234,28000.000000,-0.164837,-4.028349
2.000000,0.200000,4.655935,28451.555555,-0.054946,-3.333333
2.250000,0.200000,2.718642,36000.000000,0.004225,-3.292181
2.500000,0.200000,2.298116,40000.000000,0.041102,-2.959287
2.750000,0.200000,2.874814,44000.000000,0.054946,-2.716049
3.000000,0.200000,3.208384,48000.000000,0.054946,-2.416976
3.250000,0.200000,1.929406,52000.000000,0.109399,-2.149063
3.500000,0.200000,1.566857,56000.000000,0.114967,-2.181070
3.750000,0.200000,1.490403,60000.000000,0.127200,-1.975309
4.000000,0.200000,2.215976,64000.000000,0.128206,-1.851852
4.250000,0.200000,1.898529,62973.037037,0.145802,-1.604938
4.500000,0.200000,1.337308,72000.000000,0.146611,-1.696896
4.750000,0.200000,1.309952,75826.593507,0.151620,-1.604938
5.000000,0.200000,1.424512,80000.000000,0.156697,-1.454047
5.250000,0.200000,1.278321,84000.000000,0.159692,-1.440329
5.500000,0.200000,1.283892,88000.000000,0.163124,-1.358025
5.750000,0.200000,1.327761,92000.000000,0.164837,-1.316872
6.000000,0.200000,1.827614,96000.000000,0.164837,-1.234568
6.250000,0.200000,2.098980,99999.999999,0.164837,-1.193416
6.500000,0.200000,2.328663,103999.999999,0.164837,-1.111111
6.750000,0.200000,2.437351,108000.000000,0.164837,-1.088249
7.000000,0.200000,2.545904,111999.999999,0.164837,-1.042524
7.250000,0.200000,2.634449,116000.000000,0.164837,-1.005944
7.500000,0.200000,2.711218,120000.000000,0.164837,-0.969364
7.750000,0.200000,2.779739,124000.000000,0.164837,-0.937118
8.000000,0.200000,2.842826,127999.999999,0.164837,-0.905350
8.250000,0.200000,2.901980,131999.999999,0.164837,-0.877689
8.500000,0.200000,2.958646,135999.999999,0.164837,-0.850480
8.750000,0.200000,3.013613,140000.000000,0.164837,-0.825586
9.000000,0.200000,3.067577,144000.000000,0.164837,-0.801941
9.250000,0.200000,3.121042,148000.000000,0.164837,-0.779560
9.500000,0.200000,3.174407,152000.000000,0.164837,-0.758403
9.750000,0.200000,3.227997,156000.000000,0.164837,-0.738361
10.000000,0.200000,3.282079,160000.000000,0.164837,-0.719346
0.250000,0.300000,55.258013,3950.716049,-0.342689,-1.111111
0.500000,0.300000,42.649240,8000.000000,-0.513328,-3.278464
0.750000,0.300000,26.871660,11850.322816,-0.509811,-4.923030
1.000000,0.300000,17.292907,16000.000000,-0.279651,-4.444444
1.250000,0.300000,10.600668,20000.000000,-0.207590,-4.846145
1.500000,0.300000,10.392550,24000.000000,-0.000042,-3.333333
1.750000,0.300000,5.705720,27999.838360,0.004215,-3.909860
2.000000,0.300000,5.614267,32000.000000,0.037056,-3.990245
2.250000,0.300000,3.903560,32008.000000,0.111343,-3.196159
2.500000,0.300000,3.439159,39999.991654,0.148194,-2.839506
2.750000,0.300000,5.216626,44000.000000,0.164837,-2.592593
3.000000,0.300000,6.143662,48000.000000,0.164837,-2.272519
3.250000,0.300000,6.295284,52000.000000,0.164837,-2.080112
3.500000,0.300000,6.372653,56000.000000,0.164837,-1.925237
3.750000,0.300000,6.426305,60000.000000,0.164837,-1.793801
4.000000,0.300000,6.469508,64000.000000,0.164837,-1.679816
4.250000,0.300000,6.507609,68000.000000,0.164837,-1.579697
4.500000,0.300000,6.543194,72000.000000,0.164837,-1.490930
4.750000,0.300000,6.577676,76000.000000,0.164837,-1.411629
5.000000,0.300000,6.611892,80000.000000,0.164837,-1.340325
5.250000,0.300000,6.646378,84000.000000,0.164837,-1.275848
5.500000,0.300000,6.681493,88000.000000,0.164837,-1.217251
5.750000,0.300000,6.717492,91999.999999,0.164837,-1.163757
6.000000,0.300000,6.754561,96000.000000,0.164837,-1.114722
6.250000,0.300000,6.792844,99999.999999,0.164837,-1.069605
6.500000,0.300000,6.832456,104000.000000,0.164837,-1.027953
6.750000,0.300000,6.873488,108000.000000,0.164837,-0.989377
7.000000,0.300000,6.916022,112000.000000,0.164837,-0.953546
7.250000,0.300000,6.960127,115999.999999,0.164837,-0.920176
7.500000,0.300000,7.005863,119999.999999,0.164837,-0.889019
7.750000,0.300000,7.053289,123999.999999,0.164837,-0.859861
8.000000,0.300000,7.102457,128000.000000,0.164837,-0.832514
8.250000,0.300000,7.153417,131999.999999,0.164837,-0.806812
8.500000,0.300000,7.206218,136000.000000,0.164837,-0.782610
8.750000,0.300000,7.260907,140000.000000,0.164837,-0.759780
9.000000,0.300000,7.317529,144000.000000,0.164837,-0.738206
9.250000,0.300000,7.376131,148000.000000,0.164837,-0.717788
9.500000,0.300000,7.436759,151999.999999,0.164837,-0.698432
9.750000,0.300000,7.499457,155999.999999,0.164837,-0.680058
10.000000,0.300000,7.564273,160000.000000,0.164837,-0.662592
0.250000,0.400000,54.916826,4000.000000,-0.286938,-1.111111
0.500000,0.400000,41.997374,3564.444444,-0.440243,-3.291648
0.750000,0.400000,27.573292,11852.148148,-0.354169,-4.381446
1.000000,0.400000,17.656567,14225.777778,-0.220237,-4.732510
1.250000,0.400000,13.776772,19260.740740,-0.177626,-5.528121
1.500000,0.400000,8.929039,24000.000000,0.036491,-4.133516
1.750000,0.400000,7.092744,27998.580298,0.121736,-3.685414
2.000000,0.400000,6.767418,31576.523090,0.148215,-3.818016
2.250000,0.400000,10.529880,35999.999999,0.164837,-2.752629
2.500000,0.400000,10.666307,40000.000000,0.164837,-2.460754
2.750000,0.400000,10.738210,44000.000000,0.164837,-2.231727
3.000000,0.400000,10.788191,48000.000000,0.164837,-2.043135
3.250000,0.400000,10.820907,52000.000000,0.164837,-1.884700
3.500000,0.400000,10.852063,55999.999999,0.164837,-1.749110
3.750000,0.400000,10.860471,59999.999999,0.183255,-1.631344
4.000000,0.400000,3.597234,64000.000000,0.329980,-1.727379
4.250000,0.400000,3.851733,68000.000000,0.329720,-1.851344
4.500000,0.400000,10.958213,71999.999999,0.183095,-1.357421
4.750000,0.400000,10.992926,76000.000000,0.183269,-1.285336
5.000000,0.400000,11.029053,80000.000000,0.183514,-1.220445
5.250000,0.400000,11.066714,83999.999999,0.183817,-1.161716
5.500000,0.400000,11.105998,87999.999999,0.184170,-1.108308
5.750000,0.400000,11.146975,91999.999998,0.184567,-1.059524
6.000000,0.400000,11.189702,95999.999999,0.185002,-1.014785
6.250000,0.400000,11.234230,100000.000000,0.185473,-0.973604
6.500000,0.400000,11.280599,103999.999999,0.185977,-0.935571
6.750000,0.400000,7.670710,108000.000000,0.366075,-0.775796
7.000000,0.400000,6.103435,112000.000000,0.366139,-0.807804
7.250000,0.400000,4.865107,111712.296296,0.366195,-0.839811
7.500000,0.400000,4.089322,120000.000000,0.366349,-0.864198
7.750000,0.400000,3.550130,124000.000000,0.366283,-0.904334
8.000000,0.400000,3.573411,128000.000000,0.366319,-0.936680
8.250000,0.400000,4.119076,131999.999999,0.366349,-0.969195
8.500000,0.400000,4.945463,135999.999999,0.366530,-0.987485
8.750000,0.400000,4.902766,139999.999998,0.370241,-0.702637
9.000000,0.400000,4.203794,143941.589391,0.370269,-0.727023
9.250000,0.400000,3.899438,148000.000000,0.370407,-0.740741
9.500000,0.400000,4.168962,151999.999999,0.371052,-0.699588
9.750000,0.400000,4.531189,154077.925925,0.371745,-0.658436
10.000000,0.400000,5.053984,159999.999999,0.372350,-0.617284
0.250000,0.500000,54.742088,4000.000000,-0.244368,-1.111111
0.500000,0.500000,41.436629,7112.888889,-0.366404,-3.319616
0.750000,0.500000,28.224469,11999.977465,-0.218783,-4.074074
1.000000,0.500000,18.779038,15997.566224,-0.168907,-5.102881
1.250000,0.500000,13.282451,20000.000000,0.036170,-4.403292
1.500000,0.500000,10.222222,24000.000000,0.146572,-4.022391
1.750000,0.500000,15.075441,28000.000000,0.164837,-3.195228
2.000000,0.500000,15.247875,31999.999999,0.164837,-2.767049
2.250000,0.500000,15.321612,35999.999999,0.164837,-2.453125
2.500000,0.500000,7.753430,39999.999999,0.366308,-2.208505
2.750000,0.500000,15.373938,44000.000000,0.187167,-2.002451
3.000000,0.500000,15.409120,47999.999999,0.186795,-1.834310
3.250000,0.500000,15.438052,52000.000000,0.186738,-1.692365
3.500000,0.500000,15.467831,55999.999999,0.186796,-1.570718
3.750000,0.500000,15.498879,60000.000000,0.186933,-1.465285
4.000000,0.500000,15.531448,64000.000000,0.187130,-1.373013
4.250000,0.500000,15.208451,60459.555552,0.439459,-0.927196
4.500000,0.500000,15.601750,71999.999999,0.187660,-1.219155
4.750000,0.500000,9.345282,75999.999996,0.439506,-1.044556
5.000000,0.500000,7.126856,80000.000000,0.439531,-1.102982
5.250000,0.500000,6.169615,84000.000000,0.440556,-1.110095
5.500000,0.500000,5.491948,88000.000000,0.441599,-1.111111
5.750000,0.500000,4.582858,78397.629629,0.439639,-1.275664
6.000000,0.500000,5.424416,85354.666666,0.440017,-1.341832
6.250000,0.500000,7.593760,99999.999998,0.439578,-1.397935
6.500000,0.500000,15.961602,103999.999999,0.191002,-0.839556
